Words,Sadness,Anxiety,Anger,Disgust,Trust,Surprise,Joy
ママ,0.1865,0,0.0588,0.1865,0.7603,0.0588,0.9908
マンション,0.0588,0,1.4917,0.3529,0.1865,0.3529,0
み,0.2882,0,0,0,0,1.9091,0.2882
ミス,1.0378,0.7868,0.9104,0.0263,0.4433,0,0.0263
みた,0.2857,0.0476,0.0476,1.6473,0.2857,0.1509,0.0476
みて,0.4423,0.0476,0.1509,0.1509,0.6155,0,1
みんな,0.0556,0.0556,0.0556,0.0556,0.516,0.0556,1.661
メール,0.4644,0.05,0.1585,0.1585,1.9717,0,0
メンバー,0.3333,0,0.1761,0.1761,1.4089,0.1761,0.0556
もう,0.2222,0.344,0.037,0.6239,0.1174,0.6239,0.4787
もの,0.6742,0.2614,0.4578,0.5639,0.5103,0.5103,0.9654
もらえる,0.0909,1.9091,0,0.2882,0,0,0.0909
もらった,0.0625,0,0.0625,0,0.5805,1.8686,0.0625
やつ,0.0625,0,1.3125,1.585,0,0,0
やって,0,0.3509,1.0312,0.3509,1.25,0.066,0.3509
やはり,0.1585,0.05,0,0.3,1.9717,0.05,0.1585
やり,0.0435,0.4038,0.913,0.4038,0.0435,0.2609,0.2609
やる,0.0526,0.0526,0.8865,0.6803,0.3158,0.0526,0.1668
ゆっくり,0.0833,0,0,0.0833,0.5,0,1.75
よく,0.5436,0.5436,0.235,0.3063,1.0909,0.3818,0.1689
よる,0.1818,1.3456,0.7685,0.2814,0.1818,0.1818,0
ラーメン,0.4,0.0667,0.0667,0.6192,0.0667,0,0.8617
ライブ,0.7862,0.0227,0.0227,0.0227,0,0.072,3.2341
ライン,0.2264,0,0.0714,0.9232,0.2264,0.2264,0.2264
ラグビー,0.1714,0,0,0,0.3693,2.0254,0.9884
ラッシュ,0,0.0833,0.0833,0,0,2.8829,0
ランチ,0.2113,0,0,0.0667,0.2113,0,2.3063
ルール,0,0,1.2957,0.9942,0,0.0769,0.0769
レジ,0.0556,0,1.661,0.9358,0.0556,0.0556,0
ローマ,0,0,0.0833,0,0.774,1.4037,0.0833
